sample C13 gRNA filename replica condicion
A1_1 C0 empty A1_1_ZKRN230018290-1A_HHMMMDSX7_L3_sort.bam 1 C0_empty
A1_2 C0 empty A1_2_ZKRN230018291-1A_HHMMMDSX7_L3_sort.bam 2 C0_empty
A1_3 C0 empty A1_3_ZKRN230018292-1A_HHMMMDSX7_L3_sort.bam 3 C0_empty
A1_4 C0 empty A1_4_ZKRN230018293-1A_HHMMMDSX7_L3_sort.bam 4 C0_empty
A2_1 C1 empty A2_1_ZKRN230018294-1A_HHMMMDSX7_L3_sort.bam 1 C1_empty
A2_2 C1 empty A2_2_ZKRN230018295-1A_HHMMMDSX7_L3_sort.bam 2 C1_empty
A2_3 C1 empty A2_3_ZKRN230018296-1A_HHMMMDSX7_L3_sort.bam 3 C1_empty
A2_4 C1 empty A2_4_ZKRN230018297-1A_HHMMMDSX7_L3_sort.bam 4 C1_empty
A3_1 Lwa empty A3_1_ZKRN230018298-1A_HHMMMDSX7_L3_sort.bam 1 Lwa_empty
A3_2 Lwa empty A3_2_ZKRN230018299-1A_HHMMMDSX7_L3_sort.bam 2 Lwa_empty
A3_3 Lwa empty A3_3_ZKRN230018300-1A_HHMMMDSX7_L3_sort.bam 3 Lwa_empty
A3_4 Lwa empty A3_4_ZKRN230018301-1A_HHMMMDSX7_L3_sort.bam 4 Lwa_empty
A4_1 Rfx empty A4_1_ZKRN230018302-1A_HHMMMDSX7_L3_sort.bam 1 Rfx_empty
A4_2 Rfx empty A4_2_ZKRN230018303-1A_HHMMMDSX7_L3_sort.bam 2 Rfx_empty
A4_3 Rfx empty A4_3_ZKRN230018304-1A_HHMMMDSX7_L3_sort.bam 3 Rfx_empty
A4_4 Rfx empty A4_4_ZKRN230018305-1A_HHMMMDSX7_L3_sort.bam 4 Rfx_empty
A5_1 Lbu empty A5_1_ZKRN230018306-1A_HHMMMDSX7_L3_sort.bam 1 Lbu_empty
A5_2 Lbu empty A5_2_ZKRN230018307-1A_HHMMMDSX7_L3_sort.bam 2 Lbu_empty
A5_3 Lbu empty A5_3_ZKRN230018308-1A_HHMMMDSX7_L3_sort.bam 3 Lbu_empty
A5_4 Lbu empty A5_4_ZKRN230018309-1A_HHMMMDSX7_L3_sort.bam 4 Lbu_empty
A6_1 eLbu empty A6_1_ZKRN230018310-1A_HHMMMDSX7_L3_sort.bam 1 eLbu_empty
A6_2 eLbu empty A6_2_ZKRN230018311-1A_HHMMMDSX7_L3_sort.bam 2 eLbu_empty
A6_3 eLbu empty A6_3_ZKRN230018312-1A_HHMMMDSX7_L3_sort.bam 3 eLbu_empty
A6_4 eLbu empty A6_4_ZKRN230018313-1A_HHMMMDSX7_L3_sort.bam 4 eLbu_empty
A7_1 Lwa gRNA A7_1_ZKRN230018314-1A_HHMMMDSX7_L3_sort.bam 1 Lwa_gRNA
A7_2 Lwa gRNA A7_2_ZKRN230018315-1A_HHMMMDSX7_L3_sort.bam 2 Lwa_gRNA
A7_3 Lwa gRNA A7_3_ZKRN230018316-1A_HHMMMDSX7_L4_sort.bam 3 Lwa_gRNA
A7_4 Lwa gRNA A7_4_ZKRN230018317-1A_HHMMMDSX7_L4_sort.bam 4 Lwa_gRNA
A8_1 Rfx gRNA A8_1_ZKRN230018318-1A_HHMMMDSX7_L4_sort.bam 1 Rfx_gRNA
A8_2 Rfx gRNA A8_2_ZKRN230018319-1A_HHMMMDSX7_L4_sort.bam 2 Rfx_gRNA
A8_3 Rfx gRNA A8_3_ZKRN230018320-1A_HHMMMDSX7_L4_sort.bam 3 Rfx_gRNA
A8_4 Rfx gRNA A8_4_ZKRN230018321-1A_HHMMMDSX7_L4_sort.bam 4 Rfx_gRNA
A9_1 Lbu gRNA A9_1_ZKRN230018322-1A_HHMMMDSX7_L4_sort.bam 1 Lbu_gRNA
A9_2 Lbu gRNA A9_2_ZKRN230018323-1A_HHMMMDSX7_L4_sort.bam 2 Lbu_gRNA
A9_3 Lbu gRNA A9_3_ZKRN230018324-1A_HHKNLDSX7_L2_sort.bam 3 Lbu_gRNA
A9_4 Lbu gRNA A9_4_ZKRN230018325-1A_HHKNLDSX7_L2_sort.bam 4 Lbu_gRNA
A10_1 eLbu gRNA A10_1_ZKRN230018326-1A_HHKNLDSX7_L2_sort.bam 1 eLbu_gRNA
A10_2 eLbu gRNA A10_2_ZKRN230018327-1A_HHKNLDSX7_L2_sort.bam 2 eLbu_gRNA
A10_3 eLbu gRNA A10_3_ZKRN230018328-1A_HHKNLDSX7_L1_sort.bam 3 eLbu_gRNA
A10_4 eLbu gRNA A10_4_ZKRN230018329-1A_HHKNLDSX7_L1_sort.bam 4 eLbu_gRNA
A11_1 dLwa empty A11_1_ZKRN230018330-1A_HHKNLDSX7_L1_sort.bam 1 dLwa_empty
A11_2 dLwa empty A11_2_ZKRN230018331-1A_HHKNLDSX7_L1_sort.bam 2 dLwa_empty
A11_3 dLwa empty A11_3_ZKRN230018332-1A_HHKNLDSX7_L1_sort.bam 3 dLwa_empty
A11_4 dLwa empty A11_4_ZKRN230018333-1A_HHKNLDSX7_L1_sort.bam 4 dLwa_empty
A12_1 dRfx empty A12_1_ZKRN230018334-1A_HHKNLDSX7_L2_sort.bam 1 dRfx_empty
A12_2 dRfx empty A12_2_ZKRN230018335-1A_HHMMMDSX7_L4_sort.bam 2 dRfx_empty
A12_3 dRfx empty A12_3_ZKRN230018336-1A_HHKNLDSX7_L1_sort.bam 3 dRfx_empty
A12_4 dRfx empty A12_4_ZKRN230018337-1A_HHMMMDSX7_L4_sort.bam 4 dRfx_empty
A13_1 dLbu empty A13_1_ZKRN230018338-1A_HHMMMDSX7_L4_sort.bam 1 dLbu_empty
A13_2 dLbu empty A13_2_ZKRN230018339-1A_HHMMMDSX7_L4_sort.bam 2 dLbu_empty
A13_3 dLbu empty A13_3_ZKRN230018340-1A_HHKNLDSX7_L1_sort.bam 3 dLbu_empty
A13_4 dLbu empty A13_4_ZKRN230018341-1A_HHMMMDSX7_L4_sort.bam 4 dLbu_empty
A14_1 deLbu empty A14_1_ZKRN230018342-1A_HHKNLDSX7_L1_sort.bam 1 deLbu_empty
A14_2 deLbu empty A14_2_ZKRN230018343-1A_HHKNLDSX7_L1_sort.bam 2 deLbu_empty
A14_3 deLbu empty A14_3_ZKRN230018344-1A_HHKNLDSX7_L1_sort.bam 3 deLbu_empty
A14_4 deLbu empty A14_4_ZKRN230018345-1A_HHKNLDSX7_L1_sort.bam 4 deLbu_empty
A15_1 dLwa gRNA A15_1_ZKRN230018346-1A_HHKNLDSX7_L2_sort.bam 1 dLwa_gRNA
A15_2 dLwa gRNA A15_2_ZKRN230018347-1A_HHKNLDSX7_L2_sort.bam 2 dLwa_gRNA
A15_3 dLwa gRNA A15_3_ZKRN230018348-1A_HHKNLDSX7_L2_sort.bam 3 dLwa_gRNA
A15_4 dLwa gRNA A15_4_ZKRN230018349-1A_HHKNLDSX7_L2_sort.bam 4 dLwa_gRNA
A16_1 dRfx gRNA A16_1_ZKRN230018350-1A_HHKNLDSX7_L2_sort.bam 1 dRfx_gRNA
A16_2 dRfx gRNA A16_2_ZKRN230018351-1A_HHKNLDSX7_L2_sort.bam 2 dRfx_gRNA
A16_3 dRfx gRNA A16_3_ZKRN230018352-1A_HHKNLDSX7_L2_sort.bam 3 dRfx_gRNA
A16_4 dRfx gRNA A16_4_ZKRN230018353-1A_HHKNLDSX7_L2_sort.bam 4 dRfx_gRNA
A17_1 dLbu gRNA A17_1_ZKRN230018354-1A_HHKNLDSX7_L2_sort.bam 1 dLbu_gRNA
A17_2 dLbu gRNA A17_2_ZKRN230018355-1A_HHKNLDSX7_L2_sort.bam 2 dLbu_gRNA
A17_3 dLbu gRNA A17_3_ZKRN230018356-1A_HHKNLDSX7_L2_sort.bam 3 dLbu_gRNA
A17_4 dLbu gRNA A17_4_ZKRN230018357-1A_HHKNLDSX7_L2_sort.bam 4 dLbu_gRNA
A18_1 deLbu gRNA A18_1_ZKRN230018358-1A_HHMMMDSX7_L4_sort.bam 1 deLbu_gRNA
A18_2 deLbu gRNA A18_2_ZKRN230018359-1A_HHKNLDSX7_L2_sort.bam 2 deLbu_gRNA
A18_3 deLbu gRNA A18_3_ZKRN230018360-1A_HHKNLDSX7_L2_sort.bam 3 deLbu_gRNA
A18_4 deLbu gRNA A18_4_ZKRN230018361-1A_HHKNLDSX7_L2_sort.bam 4 deLbu_gRNA
